keep,verified_label,label,rating,app,language,text,review_id,thumbs_up,date,source
1,positive,positive,5,Touch n Go eWallet,ms,sangat baguss ini,0d5ae72b-aae0-4a8e-aecf-f875d67d24c6,0,2026-06-17 22:00:36,Google Play
1,positive,positive,4,Touch n Go eWallet,en,great and easy,984560b5-7889-4514-9b81-4cf3a8df49de,0,2026-06-05 11:20:04,Google Play
1,positive,positive,5,Touch n Go eWallet,en,i have been using more touchngo since last year and it have been really convenience using it. it merge many service on one app,195e190c-4cd1-48c1-ad80-a7d413f37fc0,0,2026-06-18 01:38:48,Google Play
1,positive,positive,4,Touch n Go eWallet,ms,Alhamdulillah mudahkan urusan,24bd660a-a699-499b-ac41-87ca7462ea01,0,2026-05-12 08:28:08,Google Play
1,positive,positive,5,Touch n Go eWallet,en,awesome. fast and reliable keep it up,f917c0f2-7613-4592-80e2-f2b1667b2a23,0,2026-06-20 15:06:24,Google Play
1,positive,positive,4,Touch n Go eWallet,en,"After the previous update, the app took forever to load",db19ae23-b432-49f7-93bc-dc376b44ca84,0,2026-06-09 13:01:08,Google Play
1,positive,positive,4,Touch n Go eWallet,ms,"kejap bole bukak pastu tetiba je apk xleh buka sebab ubahsuai, apa yg ubahsuainya",d58f4d4e-e50c-4943-aa05-134b16e8b5de,0,2026-05-11 19:36:19,Google Play
1,positive,positive,5,Touch n Go eWallet,en,very fast and responsive,7bb6e58b-5694-4777-ab50-68126ade12d1,0,2026-06-19 21:41:27,Google Play
1,positive,positive,5,Touch n Go eWallet,en,Works perfectly for the Redmi A5. Thank you for fixing my problem!!,6bb5e4eb-738a-4fd3-9c12-96c34d161b27,19,2026-06-19 19:10:01,Google Play
1,positive,positive,4,Touch n Go eWallet,en,good for e wallet,61390c4a-03c7-4456-bddc-a8ff30bed175,0,2026-06-05 12:56:24,Google Play
1,positive,positive,5,Touch n Go eWallet,en,so easy and so helpful for me,760fe85a-3f0a-4aaf-8006-5bfedb1c1013,0,2026-06-21 10:28:51,Google Play
1,positive,positive,5,Touch n Go eWallet,en,"“The app is simple to use and provides a smooth payment experience with good security features. It also supports QR payments, making transactions quicker and more efficient in daily life.”",b6e615db-7471-4cc9-88e3-45b2ec1c79d0,0,2026-06-18 14:27:12,Google Play
1,positive,positive,4,Touch n Go eWallet,ms,app terbaik👍memudahkan rakyat malaysia,2da479c8-a69f-47e4-bc51-2737e99a6adc,0,2026-05-22 06:45:01,Google Play
1,positive,positive,5,Touch n Go eWallet,ms,"mudah sekali, masa pun jimat",e3d2ea4f-c738-438c-80c3-42ee46baa7d8,0,2026-06-21 12:28:13,Google Play
1,positive,positive,5,Touch n Go eWallet,ms,tng tusah betul nak pindah kan dari hp lma ke hp bru...kalau bolh jangn lh guna nbe pin log in..scam muka dan ic pun dah cukup untuk bukti yg kita ni bukan orng lain nak log in..,28d49b51-404c-4520-8a5c-2370ebc822c1,0,2026-06-18 08:27:39,Google Play
1,positive,positive,5,Touch n Go eWallet,en,tq... alright 👌,10fe1dc8-2af6-475a-a22c-6e9544177289,0,2026-06-19 22:04:00,Google Play
1,positive,positive,4,Touch n Go eWallet,en,"love almost everything in it except the point and the reward, they should make that the point didn't get expired because the reward here is not good and the point need for that is quite high",d1b123e3-f9cd-49d3-831d-342c960a8506,0,2026-05-30 20:28:13,Google Play
1,positive,positive,5,Touch n Go eWallet,en,all utilities bills payment in 1 app,0bf27ef4-8850-4673-802f-e1d0ee77aea2,0,2026-06-19 13:58:38,Google Play
1,positive,positive,5,Touch n Go eWallet,ms,terbaik tapi bagi la bonus ke,c8ea1c54-a84c-4d04-a1fd-a76c30c2262a,0,2026-06-19 22:36:26,Google Play
1,positive,positive,5,Touch n Go eWallet,en,"Terima kasih mudahkan urusan, bagi kami penduduk kampung",8059b0e2-cd54-4792-b0bb-b4e4f4e1fde6,0,2026-06-18 19:19:02,Google Play
1,positive,positive,4,Touch n Go eWallet,en,hopefully the scanning page load faster ok. now resolved,280dfd35-4eb5-47c8-bc12-6736c5b5f089,0,2026-06-09 20:08:03,Google Play
1,positive,positive,5,Touch n Go eWallet,ms,"terbaik lahh, memudahkan",da0e1d97-95e8-49b2-87dd-1a8c84f85102,0,2026-06-20 23:35:38,Google Play
1,positive,positive,4,Touch n Go eWallet,ms,Ianya akan dapat membantu nanti,a040abbe-1114-45f9-8752-3af3fda51991,1,2026-04-17 12:11:22,Google Play
1,positive,positive,4,Touch n Go eWallet,ms,best mudh jimat,3fdabff3-8d6d-4931-b203-899dde422f49,0,2026-04-14 06:25:01,Google Play
1,positive,positive,5,Touch n Go eWallet,en,ok ok ok rm50. (rm49.50!),84298e1d-a31b-4178-ba77-03f1de95e2c8,0,2026-06-20 15:15:32,Google Play
1,positive,positive,4,Touch n Go eWallet,en,after everything solve the review will came in. At the moment it's quite good experience,e94ee272-79e2-4b3e-949a-6832ccccfc05,0,2026-05-13 17:43:56,Google Play
1,positive,positive,4,Touch n Go eWallet,en,The app was improved by a long mile since it was first introduced. the thing lacking was the security similar to banking sector level of security.,bd5d9cb8-afea-4be7-84b1-8cd214219a17,0,2026-06-11 00:41:30,Google Play
1,positive,positive,4,Touch n Go eWallet,en,not straight forward enough,da0dc1f6-3cf1-4038-a6fd-e2c8ebb516cb,0,2026-06-16 12:00:33,Google Play
1,positive,positive,4,Touch n Go eWallet,en,So easy for me,39abe94f-30af-4e01-9f86-7b7a0e4aeebe,0,2026-05-31 07:23:45,Google Play
1,positive,positive,5,Touch n Go eWallet,ms,memudahkan urusan kewangan dalam perbelanjaan,6e1361f5-2586-46d3-8f04-100b87366b4a,0,2026-06-19 22:40:52,Google Play
1,positive,positive,4,Touch n Go eWallet,en,"i like this app, easy and useful",811c0677-bb20-437f-9c4b-66e522a8c098,1,2026-05-26 21:23:09,Google Play
1,positive,positive,4,Touch n Go eWallet,ms,"Baru download app ni..blm try lgi,tpi klu app ni btl2 mmbantu n mmudahkan,nnti bru tmbah 1 star lgi.",c485b163-e102-4340-bf5c-7b71cb7aa610,2,2026-05-12 02:13:58,Google Play
1,positive,positive,4,Touch n Go eWallet,en,please make dark mode version,41853be6-6e9b-4379-9fc9-bf17edcdcf2d,1,2026-05-21 02:05:24,Google Play
1,positive,positive,4,Touch n Go eWallet,en,can be improve.,3aaec474-1912-46f5-a3d3-b74c338eaf37,0,2026-06-06 19:41:45,Google Play
1,positive,positive,4,Touch n Go eWallet,en,"baru update apps ni, tpi makin pening, skrg mmg dh x boleh top up card tngo guna nfc ke mcm mne, sbb dh xde button utk card tngo tu",9e7c915a-4252-4bc7-b44a-aa4f68bdaff6,1,2026-06-10 23:42:18,Google Play
1,positive,positive,5,Touch n Go eWallet,ms,saya penah guna ewallet tapi dah lama x buka bila nak buka balik nombor telifon dah bertukar jadi x lepas buat macam mana buat ya,8ecb1aff-eeb5-4f4f-a9fb-2ef174e05b78,0,2026-06-16 12:56:25,Google Play
1,positive,positive,4,Touch n Go eWallet,ms,x boleh bayar bil elektrik dan banyak pulak iklan,0dc58ae5-3633-452e-967a-25a792ea94b8,2,2026-04-16 07:52:34,Google Play
1,positive,positive,4,Touch n Go eWallet,en,ok laaa bagus lain kali upgrade lama supaya semua bank boleh dapat,96a2b5b6-cc2e-4b72-bf96-d5bf5e6bb485,0,2026-05-15 22:47:48,Google Play
1,positive,positive,5,Touch n Go eWallet,ms,"Can't see TNG APP,",0756ba1d-9858-45a4-b579-6c3cd2636a89,0,2026-06-21 09:12:41,Google Play
1,positive,positive,4,Touch n Go eWallet,ms,knp ACC lama saya tak blh nk buka sy tukar fon. fon lama hilang katalaluan sy dh masuk kan yg btl2 saya je tak blh nk masuk jgk knp ye,91a62e79-8fc7-41f5-aa53-6a9609774327,3,2026-06-19 04:30:19,Google Play
1,positive,positive,4,Touch n Go eWallet,ms,"terbaik ..setakat ini, naik taraf lagi pada masa-² hadapan.very good, E'wallet digital..",8c78d159-a137-45aa-8f35-bed39af73c26,0,2026-05-12 10:10:48,Google Play
1,positive,positive,5,Touch n Go eWallet,en,Implementation of budi and mykasih is good,30afbe5c-a63d-4c6f-94ac-360ccf8a29f2,0,2026-06-20 03:23:33,Google Play
1,positive,positive,4,Touch n Go eWallet,en,"dah makin laju dh, dulu asyik lag jer... kalau boleh buat la redeem coin tu setiap hari tknak voucher, better coin boleh kumpul 😁",bfa29843-5cfc-4c23-a8ea-9937fbd80ff1,0,2026-06-21 11:59:57,Google Play
1,positive,positive,5,Touch n Go eWallet,en,"Touch 'n Go eWallet has made cashless payments so convenient in Malaysia! From paying tolls and parking to splitting bills and online shopping, it handles everything with ease. The GoPayLater and GoInvest features are excellent additions that make it more than just a payment app. Top-ups are instant and the cashback deals are genuinely great value!""",20094259-bdbd-4fc6-a0c3-61ee828a2128,0,2026-06-17 23:45:08,Google Play
1,positive,positive,4,Touch n Go eWallet,en,It would be nice for the app to have dark mode,85e043bb-fca5-4610-b1e9-e161f45190d3,0,2026-05-29 15:08:16,Google Play
1,positive,positive,4,Touch n Go eWallet,en,Saya suka Dan mudah untuk saya membuat tarnsaksi❤️❤️,2f2a1609-f48e-49a9-affe-b45e82226834,0,2026-05-18 19:47:42,Google Play
1,positive,positive,5,Touch n Go eWallet,en,"Touch nGo eWallet provides a convenient cashless payment solution. Transactions are quick, secure, and suitable for daily use.",50c458a3-f723-4535-8c46-418849f427a0,0,2026-06-17 18:22:18,Google Play
1,positive,positive,4,Touch n Go eWallet,en,kenapa makin lama makin slow server dia,f2bcc035-d921-4e08-8488-1ea4a7443e18,0,2026-06-01 21:05:03,Google Play
1,positive,positive,4,Touch n Go eWallet,en,Payment is smooth sailing. Feel safe only if it is really secured.,6241cf97-d295-43e7-821d-577703180610,0,2026-05-31 19:34:58,Google Play
1,positive,positive,4,Touch n Go eWallet,en,simple n easy,0e781c0c-046f-4334-9894-0cfddcfc9dfc,0,2026-06-01 22:16:10,Google Play
1,positive,positive,4,MySejahtera,ms,Terbaik dan mantap,82f26d14-7cda-4d59-b20a-38037f655c34,0,2023-01-01 07:38:47,Google Play
1,positive,positive,4,MySejahtera,en,Tarikh untuk temujanji tidak dapat diplilih. Hanya tarikh semasa sahaja yang dipaparkan.,014758cd-0a7f-45c8-be2f-ab61b74e9fe5,0,2024-05-15 13:03:30,Google Play
1,positive,positive,4,MySejahtera,ms,Maklumat kewangan aku..apakah kamu tahu mygov..?tanya dahulu itu lebih baik.dari pada mengambil keputusan tanpa persetujuan hak hidup sebagai manusia..,fc83174b-b18c-4868-9dfa-caacd347952b,1,2022-09-24 04:10:25,Google Play
1,positive,positive,5,MySejahtera,ms,Kenapa Selepas kemas kini sijil jadi hitam putih pula,35e176eb-7845-418d-a898-8fcbe531ef46,9,2025-09-14 13:26:29,Google Play
1,positive,positive,5,MySejahtera,en,i love this App,ae50e3ed-dbf3-48c8-87bd-3e8e142587be,0,2025-07-14 19:38:23,Google Play
1,positive,positive,4,MySejahtera,en,tak boleh nak book appointment. tak keluar pun nearest klinik yg available .keluar yg kat KL punya. kita duduk pahang,ffdec409-c60d-40e2-9308-d133876fc67a,0,2025-03-18 18:30:57,Google Play
1,positive,positive,5,MySejahtera,en,i hope my past vaccine cert will appear in new my sejahtera.,79ad120b-46eb-427f-ae3d-aa4325e3e5e6,1,2025-07-09 22:22:04,Google Play
1,positive,positive,5,MySejahtera,en,"With this new updated app, I can't find my covid 19 vaccination record. Is it available in this updated apps.",4ac30884-4e30-42cc-b209-71d95387c252,0,2025-07-07 19:04:21,Google Play
1,positive,positive,5,MySejahtera,en,"this new version looks awesome and beautiful. Great UI, looks modern and robust. great job team",0cff5a6f-d1a8-46a8-8f47-16dcaa1fbf47,1,2025-07-10 07:49:48,Google Play
1,positive,positive,5,MySejahtera,ms,Apa ke Benda ni ???@ nak buat temujanji klinik Gigi Semuanya Penuh? Temujanji yang ada kosong yang sy pernah dapat dapat January 2027? paling cepat 3bulan??? masalah orang dah sakit sangat takkan nak kena tunggu lama??Bila Call nak pergi terus tak boleh? Sistem Kejam apa yang dicipta ni?,e62b274a-dcda-465a-942c-8e5c89a509ef,10,2026-02-02 23:02:37,Google Play
1,positive,positive,4,MySejahtera,en,"after so long not open this app since pkp (covid) , now I open it 😁😄",c607a462-7322-4edb-a167-313778408e8a,0,2025-07-12 00:38:37,Google Play
1,positive,positive,4,MySejahtera,en,Selamat berinstall kembali semua,5a4c248e-5715-4cd1-924e-bb8b1dadbb03,0,2023-12-14 14:42:42,Google Play
1,positive,positive,4,MySejahtera,en,the app is good but i dont know how to update covid test status,7ba728a9-bfa6-4367-905d-8745ef038a82,0,2025-07-27 22:31:25,Google Play
1,positive,positive,5,MySejahtera,en,nipah virus coming.gotta download this app to prevent nipah virus,9853f51e-6fc6-4c8b-b526-dc334f27e1a3,0,2026-01-30 02:05:04,Google Play
1,positive,positive,4,MySejahtera,en,"lepas update version baru, apps tak boleh buka.. blank.",20158933-2267-41f7-8385-f391378c85e1,0,2025-07-09 08:26:06,Google Play
