review_id,app,text,rating,label,language,thumbs_up,date,source
8d13066a-dfd8-480c-8440-60dfdc935573,Touch n Go eWallet,live agent lazy. lagging and problems not solve,1,negative,en,0,2026-06-21 12:56:27,Google Play
6fa81cb9-c9e9-466c-a7d0-d65369f256fb,Touch n Go eWallet,Update terbaru tiada portal card,1,negative,en,0,2026-06-21 11:12:25,Google Play
8fb6fc9a-a395-4261-b705-ca4fe9c05257,Touch n Go eWallet,"Buggy & the Go Rewards system is out of whack. My e-voucher was never added after payment. Now waiting for customer support (which is only available via phone call, hello?) to rectify. Let's see what happens. Not very reassuring for the country's national ewallet system. Edit in response to the developer's response: Thanks for the reply but if you had read my review yes, I have already called your helpline and no, your livechat is a useless AI chatbot which gave a completely wrong answer.",1,negative,en,2,2026-06-21 08:45:40,Google Play
c76e584e-a844-41b9-80a7-23098b9911b4,Touch n Go eWallet,unable to view all transactions anymore. new update make it worse to navigate,1,negative,en,0,2026-06-21 07:27:12,Google Play
cf3826e9-400b-4b16-9242-25cd6558cdef,Touch n Go eWallet,"With every single update, they deliberatly ruined the UX more & more. Now the homepage don't even have quick access to your TnG card unless you manually put it in your favourite. Even then you have to scroll down from the homepage to see it. Get this. The default feature in favourite is cardmatch & cash loan. As if that's the most used feature of TnG. What a dismal developer creating dismal system with dismal UX.",1,negative,en,4,2026-06-20 22:41:00,Google Play
1f68bcc3-d381-473b-9db6-3536f37e0101,Touch n Go eWallet,"recent update put useful mini apps to dormant. change of UI and buttons not for ease of usage but to force as much ads as possible to users. the TnG card button is no where to be found, probably hidden somewhere, thou can still be viewed with search bar. worst UI development team ever, you need to get them replaced.",1,negative,en,0,2026-06-20 22:09:08,Google Play
f28bfc55-fd64-48ec-abb0-a247e3b37074,Touch n Go eWallet,"please do not simply change the UI whenever you like, it became more complicated when we want to access some feature like transaction and tng card, just change it back to previous one, it is more preferable",1,negative,en,0,2026-06-20 19:57:00,Google Play
017cca2d-35d9-465a-8645-037d24ef08b1,Touch n Go eWallet,after update reload take so many time. before this instant reload easy,1,negative,en,0,2026-06-20 17:19:01,Google Play
d2ef6003-9251-4577-b451-509717b2d246,Touch n Go eWallet,can't transfer my money!,1,negative,en,0,2026-06-20 13:56:36,Google Play
abbf4fac-26a8-4fca-b8a0-3b2925e53cfb,Touch n Go eWallet,"Unable to reload my My50 Pass. The payment was successful, but the reload amount was refunded back to my account a few minutes later.",1,negative,en,0,2026-06-20 09:41:09,Google Play
cf4ee723-ecf7-4c26-ab8b-b3fc61e05f5f,Touch n Go eWallet,Double caj tol dalam Baki e wallet tng dengan Baki tng dalam kad. Sangat menyusahkan 👎👎👎,1,negative,en,0,2026-06-20 04:55:33,Google Play
a0f69959-e7a7-4301-becf-1d2be9f4f766,Touch n Go eWallet,"It gets worse with every update. The user interface is becoming more and more counterintuitive The app is now cluttered with too many ads that waste users’ time, mobile data, and patience. The only reason I still keep this app is because I’m forced to use it. This is what happens when a monopoly keeps incompetent, poorly designed services alive. 😄👎🏻",1,negative,en,1,2026-06-19 23:25:42,Google Play
c3879ee7-dfd6-480a-97ba-c02f83829326,Touch n Go eWallet,can't log in after mew update,1,negative,en,0,2026-06-19 16:57:10,Google Play
67c0a32b-bba2-4fd7-b11b-ee4903d1de03,Touch n Go eWallet,"stupid redesign. TNG card should be at the front, ie no need to go under 'Transport'",1,negative,en,1,2026-06-19 16:06:36,Google Play
d5e24be9-de58-41c3-9c66-6fd355224553,Touch n Go eWallet,it's always crash I can't open the app it close by it self and very laggy I even can't do anything tng pls fix this,1,negative,en,0,2026-06-19 02:59:34,Google Play
29c1ceb3-b3c9-422b-a9ad-ccacfb8bbc11,Touch n Go eWallet,"Update : Pandai to auto reply?! Fake service ! Which monyet did the new layout? Uneducated nonsensical placements. Seriously, you guys should hire better app developer than use monyets! TouchNGo card and eWallet should be Primary and readily accessible.. go hide the GoFinance somewhere else! or spin off GoFinance as a different app ! How is TouchNGo card under Transport ?! So TouchNGo is officially declaring TouchNGo card cannot be used for purchases? This isTouchNGo app, not GoFinance app!!",1,negative,en,51,2026-06-18 16:29:48,Google Play
f1d4375a-b28f-4d5c-84de-34a4c339645b,Touch n Go eWallet,The new interface update is making it so difficult for me to navigate. Don't your UIUX team have a touch heat map for everything??? So disappointing!,1,negative,en,0,2026-06-18 15:44:22,Google Play
4e9348f7-709f-4e07-8b16-44a4121a3ccd,Touch n Go eWallet,Where is tng card options. Why did u remove. How to top up tng card then!!.... U show those useless stuff to us for what?,1,negative,en,0,2026-06-18 14:47:04,Google Play
fa230d05-8959-43d7-8a51-727bbc1041f6,Touch n Go eWallet,Why when I add money it directly goes to Go+ account and not the eWallet?Most of us don't need that daily return rate or whatever. We just want to use ewallet to topup our physical card.And why the card option suddenly dissappeared from the front page of the app. Some of us don't need the stupid Gofinance or near me or bills on them. Too many trash app related to this app now.Stupid highlights and promotion. We don't need to see all that.Getting worst with every update.,1,negative,en,0,2026-06-18 12:56:21,Google Play
